,Longitude,Latitude,line,station,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
278,2.172794,41.381722,METRO (L3),LICEU/METRO (L3),7,Restaurant,Tapas Restaurant,Coffe Shop,Plaza,Ice Cream Shop,Dessert Shop,Hotel,Monument / Landmark,Sporting Goods Shop,Tea Room
304,2.210317,41.420291,METRO (L4),BESÒS/METRO (L4),9,Coffe Shop,Tapas Restaurant,Restaurant,Grocery Store,Market,Food & Drink Shop,Skate Park,Bar,Supermarket,Bakery
305,2.145257,41.43056,METRO (L3),MONTBAU/METRO (L3),4,Plaza,Park,Restaurant,Mediterranean Restaurant,Grocery Store,Soccer Stadium,Breakfast Spot,Tennis Court,Basketball Court,Stadium
319,2.186968,41.397311,TRAMVIA (T4),AUDITORI/TRAMVIA (T4),1,Restaurant,Coffe Shop,Hotel,Bakery,Theater,Gym,Bar,Supermarket,Music Venue,Rock Club
323,2.121492,41.386718,"TRAMVIA (T1,T2,T3)","PIUS XII/TRAMVIA (T1,T2,T3)",0,Restaurant,Hotel,Coffe Shop,Bakery,Vegetarian / Vegan Restaurant,Diner,Italian Restaurant,Bar,Garden,Plaza
325,2.192179,41.395239,METRO (L4),BOGATELL/METRO (L4),1,Restaurant,Coffe Shop,Hotel,Bar,Music Venue,Art Gallery,Vegetarian / Vegan Restaurant,Rock Club,Bakery,Dance Studio
327,2.147573,41.401403,FGC,PLAÇA MOLINA<center>/FGC,1,Coffe Shop,Mediterranean Restaurant,Restaurant,Bakery,Hotel,Tapas Restaurant,Plaza,Wine Bar,Pizza Place,Italian Restaurant
341,2.188532,41.404209,"TRAMVIA (T5, T6)","LA FARINERA/TRAMVIA (T5, T6)",2,Restaurant,Hotel,Mediterranean Restaurant,Hostel,Gym,Clothing Store,Tapas Restaurant,Taco Place,Comfort Food Restaurant,Asian Restaurant
344,2.166135,41.364048,Telefèric de Montjuïc,Castell/Telefèric de Montjuïc,4,Park,Restaurant,Castle,Athletics & Sports,Scenic Lookout,Historic Site,Lighthouse,Diner,Indie Movie Theater,Beer Garden
350,2.200601,41.419306,METRO (L2),SANT MARTÍ/METRO (L2),9,Coffe Shop,Tapas Restaurant,Soccer Field,Park,Grocery Store,Bakery,Supermarket,Pizza Place,Smoke Shop,Pedestrian Plaza
