,station,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
135,PEÑAGRANDE/7A,Restaurant,Tapas Restaurant,Diner,Gym,Pizza Place,Bakery,Farmers Market,Convenience Store,Soccer Field,Kebab Restaurant
136,PINAR DE CHAMARTIN/1,Restaurant,Gym,Bar,Supermarket,Italian Restaurant,Food,Sports Bar,Diner,Japanese Restaurant,Asian Restaurant
137,PINAR DEL REY/8,Restaurant,Plaza,Gymnastics Gym,Food,Music Venue,Soccer Field,Indian Restaurant,Pub,Chinese Restaurant,College Auditorium
138,PIO XII/9A,Restaurant,Supermarket,Steakhouse,Big Box Store,Peruvian Restaurant,Arcade,Diner,Plaza,Deli / Bodega,Gym
139,PIRAMIDES/5,Restaurant,Coffe Shop,Plaza,Bar,Sandwich Place,Nightclub,Chinese Restaurant,Mediterranean Restaurant,Italian Restaurant,Peruvian Restaurant
140,PLAZA DE CASTILLA/1,Restaurant,Italian Restaurant,Coffe Shop,Chinese Restaurant,Hotel,Fast Food Restaurant,Electronics Store,Argentinian Restaurant,Burger Joint,Seafood Restaurant
141,PLAZA DE ESPAÑA/10A,Hotel,Coffe Shop,Restaurant,Cocktail Bar,Tapas Restaurant,Bookstore,Theater,Hostel,Argentinian Restaurant,Chinese Restaurant
142,PLAZA ELIPTICA/11,Bar,Bakery,Plaza,Gym,Seafood Restaurant,Colombian Restaurant,Restaurant,Kebab Restaurant,Grocery Store,Stadium
143,PORTAZGO/1,Gym,Pizza Place,Restaurant,Fast Food Restaurant,Performing Arts Venue,American Restaurant,Concert Hall,Rock Club,Big Box Store,Brewery
144,PRINCIPE DE VERGARA/2,Restaurant,Italian Restaurant,Burger Joint,Tapas Restaurant,Ice Cream Shop,Bakery,Coffe Shop,Mediterranean Restaurant,Indian Restaurant,Steakhouse
145,PRINCIPE PIO/10A,Hotel,Coffe Shop,Bar,Ice Cream Shop,Monument / Landmark,Park,Restaurant,Theater,Gastropub,Shopping Mall
146,PROSPERIDAD/4,Restaurant,Bar,Tapas Restaurant,Supermarket,Coffe Shop,Pizza Place,Plaza,Diner,Bakery,Japanese Restaurant
147,PUEBLO NUEVO/5,Restaurant,Clothing Store,Coffe Shop,Tapas Restaurant,Bar,Supermarket,Bakery,Mobile Phone Shop,Brewery,Chinese Restaurant
148,PUENTE ALCOCER/C-5,Restaurant,Grocery Store,Pizza Place,Mediterranean Restaurant,Gastropub,German Restaurant,Miscellaneous Shop,Building,Paper / Office Supplies Store,Tennis Court
149,PUENTE DE VALLECAS/1,Fast Food Restaurant,Supermarket,Coffe Shop,Tapas Restaurant,Grocery Store,Gym,Hotel,Bakery,Peruvian Restaurant,BBQ Joint
150,PUERTA DE TOLEDO/5,Tapas Restaurant,Coffe Shop,Bar,Restaurant,Gym,Plaza,Pizza Place,Sandwich Place,Vegetarian / Vegan Restaurant,Food & Drink Shop
151,PUERTA DEL ANGEL/6,Restaurant,Grocery Store,Farmers Market,Circus,Food & Drink Shop,Nightclub,Snack Place,Sporting Goods Shop,Concert Hall,Diner
152,QUEVEDO/2,Restaurant,Coffe Shop,Bar,Tapas Restaurant,Plaza,Brewery,Burger Joint,Mexican Restaurant,Ice Cream Shop,Japanese Restaurant
153,QUINTANA/5,Restaurant,Bar,Coffe Shop,Tapas Restaurant,Supermarket,Bakery,Burger Joint,BBQ Joint,Taco Place,Sporting Goods Shop
154,RAMON Y CAJAL/C-3,Restaurant,Coffe Shop,Bar,Breakfast Spot,Toy / Game Store,Diner,IT Services,Pub,Burger Joint,Nightclub
155,RECOLETOS/C-1,Restaurant,Hotel,Coffe Shop,Japanese Restaurant,Bakery,Clothing Store,Shoe Store,Accessories Store,Italian Restaurant,Art Gallery
156,REPUBLICA ARGENTINA/6,Restaurant,Coffe Shop,Italian Restaurant,Plaza,Gourmet Shop,Snack Place,Bridal Shop,Sushi Restaurant,Diner,Toy / Game Store
